hexsha,patch,summary,author
064e32dc5b03,https://github.com/torvalds/linux/commit/064e32dc5b03,"of: fdt: Honor CONFIG_CMDLINE* even without /chosen node, take 2",Rob Herring
704f3384f322,https://github.com/torvalds/linux/commit/704f3384f322,drm/i915/gvt: fix vgpu debugfs clean in remove,Zhenyu Wang
c4b850d1f448,https://github.com/torvalds/linux/commit/c4b850d1f448,drm/i915/gvt: fix gvt debugfs destroy,Zhenyu Wang
3792fc508c09,https://github.com/torvalds/linux/commit/3792fc508c09,drm/i915: unpin on error in intel_vgpu_shadow_mm_pin(),Dan Carpenter
0599313e2666,https://github.com/torvalds/linux/commit/0599313e2666,ALSA: usb-audio: Make sure to stop endpoints before closing EPs,Takashi Iwai
cf97eb7e47d4,https://github.com/torvalds/linux/commit/cf97eb7e47d4,drm/amdkfd: Fix kernel warning during topology setup,Mukul Joshi
e7a293658c20,https://github.com/torvalds/linux/commit/e7a293658c20,EDAC/highbank: Fix memory leak in highbank_mc_probe(),Miaoqian Lin
69555549cfa4,https://github.com/torvalds/linux/commit/69555549cfa4,drm/scheduler: Fix lockup in drm_sched_entity_kill(),Dmitry Osipenko
c7dd13805f8b,https://github.com/torvalds/linux/commit/c7dd13805f8b,usb: rndis_host: Secure rndis_query check against int overflow,Szymon Heidrich
7dc618385419,https://github.com/torvalds/linux/commit/7dc618385419,net: dpaa: Fix dtsec check for PCS availability,Sean Anderson
4af1b64f80fb,https://github.com/torvalds/linux/commit/4af1b64f80fb,octeontx2-pf: Fix lmtst ID used in aura free,Geetha sowjanya
8509419758f2,https://github.com/torvalds/linux/commit/8509419758f2,mmc: sunxi-mmc: Fix clock refcount imbalance during unbind,Samuel Holland
03dec92c4f78,https://github.com/torvalds/linux/commit/03dec92c4f78,drm/scheduler: Fix lockup in drm_sched_entity_kill(),Dmitry Osipenko
a764da46cd15,https://github.com/torvalds/linux/commit/a764da46cd15,drm/virtio: Fix memory leak in virtio_gpu_object_create(),Xiu Jianfeng
588ab2dc25f6,https://github.com/torvalds/linux/commit/588ab2dc25f6,net: sparx5: Fix reading of the MAC address,Horatiu Vultur
06bf62944144,https://github.com/torvalds/linux/commit/06bf62944144,vxlan: Fix memory leaks in error path,Ido Schimmel
490748874ebf,https://github.com/torvalds/linux/commit/490748874ebf,soc: imx8m: Fix incorrect check for of_clk_get_by_name(),Miaoqian Lin
b3d40c3ec3dc,https://github.com/torvalds/linux/commit/b3d40c3ec3dc,HID: intel_ish-hid: Add check for ishtp_dma_tx_map,Jiasheng Jiang
694175cd8a16,https://github.com/torvalds/linux/commit/694175cd8a16,gpio: sifive: Fix refcount leak in sifive_gpio_probe,Miaoqian Lin
7adde5ac25fa,https://github.com/torvalds/linux/commit/7adde5ac25fa,mtd: parsers: Fix potential memory leak in mtd_parser_tplink_safeloader_parse(),Yuan Can
38b50aa44495,https://github.com/torvalds/linux/commit/38b50aa44495,RDMA/mlx5: Fix mlx5_ib_get_hw_stats when used for device,Shay Drory
90fee3dd5bfc,https://github.com/torvalds/linux/commit/90fee3dd5bfc,gpio: pca953x: avoid to use uninitialized value pinctrl,Haibo Chen
ba2dc1cb5491,https://github.com/torvalds/linux/commit/ba2dc1cb5491,gpiolib: Fix using uninitialized lookup-flags on ACPI platforms,Hans de Goede
6217e9f05a74,https://github.com/torvalds/linux/commit/6217e9f05a74,drm/i915/dsi: fix MIPI_BKLT_EN_1 native GPIO index,Jani Nikula
